Időpont;Letöltés;Letöltés %;Feltöltés;Feltöltés %;Válaszidő;Csomagvesztés
2023.05.06 21:30;794.08 Mbps;79%;331.49 Mbps;110%;2 msec.;1
2023.05.06 22:30;807.77 Mbps;81%;331.64 Mbps;111%;2 msec.;1
2023.05.06 23:30;796.99 Mbps;80%;331.59 Mbps;111%;2 msec.;1
2023.05.07 0:30;803.70 Mbps;80%;331.60 Mbps;111%;2 msec.;1
2023.05.07 1:30;808.06 Mbps;81%;331.31 Mbps;110%;2 msec.;1
2023.05.07 2:31;803.17 Mbps;80%;330.50 Mbps;110%;2 msec.;1
2023.05.07 3:30;787.72 Mbps;79%;331.55 Mbps;111%;2 msec.;1
2023.05.07 4:30;785.86 Mbps;79%;331.72 Mbps;111%;2 msec.;1
2023.05.07 5:30;782.15 Mbps;78%;331.66 Mbps;111%;2 msec.;1
2023.05.07 6:30;782.20 Mbps;78%;331.60 Mbps;111%;2 msec.;1
2023.05.07 7:30;794.29 Mbps;79%;331.50 Mbps;111%;2 msec.;1
2023.05.07 8:30;798.79 Mbps;80%;331.64 Mbps;111%;2 msec.;1
2023.05.07 9:30;793.54 Mbps;79%;331.87 Mbps;111%;2 msec.;1
2023.05.07 10:30;794.59 Mbps;79%;331.70 Mbps;111%;2 msec.;1
2023.05.07 11:30;806.15 Mbps;81%;331.64 Mbps;111%;2 msec.;1
2023.05.07 12:30;793.29 Mbps;79%;331.56 Mbps;111%;2 msec.;1
2023.05.07 13:30;804.59 Mbps;80%;331.37 Mbps;110%;2 msec.;1
2023.05.07 14:30;807.08 Mbps;81%;331.78 Mbps;111%;2 msec.;1
2023.05.07 15:30;796.26 Mbps;80%;331.66 Mbps;111%;2 msec.;1
2023.05.07 16:30;803.62 Mbps;80%;331.38 Mbps;110%;2 msec.;1
2023.05.07 17:30;802.05 Mbps;80%;331.27 Mbps;110%;2 msec.;1
2023.05.07 18:30;797.13 Mbps;80%;331.52 Mbps;111%;3 msec.;1
2023.05.07 19:30;816.80 Mbps;82%;331.33 Mbps;110%;2 msec.;1
2023.05.07 20:30;826.77 Mbps;83%;331.10 Mbps;110%;3 msec.;1
2023.05.07 21:30;814.23 Mbps;81%;331.67 Mbps;111%;2 msec.;1
2023.05.07 22:30;815.53 Mbps;82%;331.33 Mbps;110%;2 msec.;1
2023.05.07 23:30;801.14 Mbps;80%;331.59 Mbps;111%;2 msec.;1
2023.05.08 0:30;801.59 Mbps;80%;331.78 Mbps;111%;2 msec.;1
2023.05.08 1:30;803.10 Mbps;80%;331.58 Mbps;111%;2 msec.;1
2023.05.08 2:30;799.72 Mbps;80%;331.62 Mbps;111%;2 msec.;1
2023.05.08 3:30;796.31 Mbps;80%;331.75 Mbps;111%;2 msec.;1
2023.05.08 4:30;796.93 Mbps;80%;331.77 Mbps;111%;2 msec.;1
2023.05.08 5:30;801.26 Mbps;80%;331.97 Mbps;111%;2 msec.;1
2023.05.08 6:30;802.40 Mbps;80%;331.51 Mbps;111%;2 msec.;1
2023.05.08 7:30;795.71 Mbps;80%;331.46 Mbps;110%;2 msec.;1
2023.05.08 8:31;793.37 Mbps;79%;331.38 Mbps;110%;2 msec.;1
2023.05.08 9:30;799.22 Mbps;80%;331.67 Mbps;111%;2 msec.;1
2023.05.08 10:30;805.84 Mbps;81%;331.61 Mbps;111%;2 msec.;1
2023.05.08 11:30;812.71 Mbps;81%;331.68 Mbps;111%;2 msec.;1
2023.05.08 12:30;794.57 Mbps;79%;331.72 Mbps;111%;2 msec.;1
2023.05.08 13:30;791.58 Mbps;79%;331.74 Mbps;111%;2 msec.;1
2023.05.08 14:30;794.68 Mbps;79%;331.51 Mbps;111%;2 msec.;1
2023.05.08 15:30;800.36 Mbps;80%;331.37 Mbps;110%;2 msec.;1
2023.05.08 16:30;793.55 Mbps;79%;331.33 Mbps;110%;2 msec.;1
2023.05.08 17:30;801.82 Mbps;80%;331.72 Mbps;111%;2 msec.;1
2023.05.08 18:30;800.52 Mbps;80%;331.36 Mbps;110%;2 msec.;1
2023.05.08 19:30;801.94 Mbps;80%;331.38 Mbps;110%;2 msec.;1
2023.05.08 20:30;774.44 Mbps;77%;330.81 Mbps;110%;2 msec.;1
2023.05.08 21:30;804.38 Mbps;80%;331.62 Mbps;111%;2 msec.;1
2023.05.08 22:30;806.48 Mbps;81%;331.63 Mbps;111%;2 msec.;1
2023.05.08 23:30;804.93 Mbps;80%;331.61 Mbps;111%;2 msec.;1
2023.05.09 0:30;806.13 Mbps;81%;331.63 Mbps;111%;2 msec.;1
2023.05.09 1:30;0.00 Mbps; %;0.00 Mbps; %; msec.;7
2023.05.09 1:36;795.68 Mbps;80%;330.50 Mbps;110%;2 msec.;1
2023.05.09 2:30;798.64 Mbps;80%;331.37 Mbps;110%;2 msec.;1
2023.05.09 3:30;793.98 Mbps;79%;331.56 Mbps;111%;2 msec.;1
2023.05.09 4:30;796.99 Mbps;80%;331.66 Mbps;111%;2 msec.;1
2023.05.09 5:30;789.70 Mbps;79%;331.68 Mbps;111%;2 msec.;1
2023.05.09 6:30;802.43 Mbps;80%;331.54 Mbps;111%;2 msec.;1
2023.05.09 7:30;794.00 Mbps;79%;331.72 Mbps;111%;2 msec.;1
2023.05.09 8:32;800.31 Mbps;80%;331.15 Mbps;110%;2 msec.;1
2023.05.09 9:30;784.19 Mbps;78%;330.97 Mbps;110%;2 msec.;1
2023.05.09 10:30;798.36 Mbps;80%;331.29 Mbps;110%;2 msec.;1
2023.05.09 11:30;790.58 Mbps;79%;331.60 Mbps;111%;2 msec.;1
2023.05.09 12:30;810.96 Mbps;81%;331.42 Mbps;110%;2 msec.;1
